MSOAcode,log_Violent,PopDensity,Age16_29%,BAME%,Householdspaces_no_usualresidents,Household_Income,House_Price,Employment_Deprivation,EducationSkills_Deprivation,LivingEnvironment_Deprivation,Violent_Rate
E02000083,1.378588541,30,18.1449,12.1,0.322219295,4.650307523,5.383587391,0.116166667,24.9925,17.72816667,23.91049355
E02000084,1.025242223,42,16.3362,12.9,0.278753601,4.747411808,5.553482515,0.058714286,11.88857143,11.76057143,10.59844678
E02000085,1.117303664,50,19.0335,10,0.397940009,4.713490543,5.472924578,0.0686,19.3092,15.4346,13.10097639
E02000086,1.024038241,50,17.2358,7.4,0.204119983,4.745855195,5.51911627,0.0532,13.8358,11.9162,10.56910569
E02000087,1.161972659,21,15.8081,10.3,0.397940009,4.764176132,5.631250932,0.0542,7.042,11.2584,14.52020202
E02000088,0.858270344,39,17.7426,8.2,0.230448921,4.784617293,5.552273888,0.06,13.344,8.3826,7.215565005
E02000089,0.714827047,58,15.4566,7.6,0.146128036,4.77524626,5.565200616,0.0554,12.5952,8.6058,5.185934733
E02000090,1.260252425,51,19.0471,9.4,0.505149978,4.698970004,5.506383251,0.0642,9.64,21.296,18.20758831
E02000091,1.192115966,36,17.9737,10.5,0.579783597,4.687528961,5.4945247,0.072833333,10.15283333,13.75083333,15.56381163
E02000092,1.413956194,11,17.74,12.6,0.361727836,4.630427875,5.474280383,0.15025,31.42825,18.6885,25.9391771
E02006785,1.17458044,49,18.2093,17.8,0.397940009,4.636487896,5.441571034,0.10425,23.64975,13.715,14.9479088
E02000093,1.265727191,81,18.8253,72.1,0.255272505,4.705863712,5.586301431,0.080333333,12.42083333,19.05116667,18.43856809
E02000094,1.315204491,75,19.5844,62.5,0.414973348,4.680335513,5.565936321,0.0866,15.3584,22.0498,20.66352887
E02000095,1.430553202,65,18.5785,72.2,0.322219295,4.698970004,5.615215441,0.0854,11.177,24.3326,26.94965449
E02000096,0.924047724,46,17.8971,67.7,0.397940009,4.746634199,5.709634547,0.0576,3.5132,16.8386,8.395522388
E02000097,1.183009187,48,18.6116,63.9,0.278753601,4.684845362,5.626707771,0.0844,15.3052,20.3736,15.24084993
E02000098,1.279530597,46,18.9507,67.2,0.462397998,4.667452953,5.7041591,0.1122,12.0144,17.6634,19.03402332
E02000099,1.172846204,69,19.9526,70,0.380211242,4.691965103,5.591956778,0.0728,9.9724,20.8812,14.88833747
E02000100,1.369959758,43,27.8379,68.4,0.73239376,4.730782276,5.787097584,0.051,3.9178,16.273,23.44011608
E02000101,1.519432665,68,18.2092,69.7,0.380211242,4.599883072,5.611692513,0.1284,14.7226,29.1138,33.06988353
E02000102,1.283333442,58,18.8199,68.3,0.278753601,4.622214023,5.555592573,0.14725,27.01475,25.706,19.20142421
E02000103,1.414757186,51,19.1278,57.8,0.380211242,4.622214023,5.647522822,0.1368,19.8396,22.22,25.98706224
E02000104,1.431737146,64,18.1703,70.1,0.380211242,4.67669361,5.551743901,0.11,11.5265,22.7085,27.02322308
E02000105,1.337948626,72,18.2336,75.8,0.361727836,4.684845362,5.522852253,0.096,13.9908,25.604,21.77452177
E02000106,1.625299879,81,20.7385,62.4,0.431363764,4.582063363,5.628245845,0.143333333,22.895,35.63233333,42.19877846
E02000107,1.398437285,119,24.3148,46.5,0.505149978,4.6599162,5.746752485,0.121166667,13.04266667,35.71766667,25.02864193
E02000108,1.221392524,82,18.0891,73.8,0.176091259,4.630427875,5.489649163,0.1005,12.49025,24.7535,16.64916754
E02000109,1.652169538,57,22.9338,76.3,0.653212514,4.663700925,5.536680886,0.090333333,14.81016667,24.62583333,44.89206034
E02000110,1.170696227,106,24.3386,46.9,0.278753601,4.699837726,5.810903609,0.1052,11.1878,26.4166,14.81481481
E02000111,1.510771051,95,17.2302,83.8,0.278753601,4.667452953,5.565533786,0.0906,14.4708,24.9906,32.41686792
E02000112,1.618170003,80,19.4929,78.9,0.643452676,4.641474111,5.548880563,0.0936,17.315,32.934,41.51165068
E02000113,1.586564299,65,20.217,75.3,0.146128036,4.557507202,5.428066728,0.205,33.46866667,28.261,38.59795535
E02000114,1.464630295,150,26.2236,47.4,0.414973348,4.632457292,5.706002186,0.11,12.5706,38.9726,29.14944529
E02000115,1.255346799,99,24.849,37.9,0.544068044,4.684845362,5.841641608,0.1126,9.6236,27.7266,18.00307947
E02000116,1.556546198,83,22.864,59.2,0.322219295,4.556302501,5.634857993,0.16275,23.152,45.91175,36.02020646
E02000117,1.593739109,140,19.4596,68.9,0.322219295,4.532754379,5.466241667,0.23,29.85166667,33.5185,39.24091348
E02000118,1.334982175,84,20.396,82.7,0.204119983,4.651278014,5.4454563,0.096,24.7914,23.7622,21.62629758
E02000119,1.763224554,31,20.171,78.1,0.431363764,4.582063363,5.568292095,0.235,28.72775,34.545,57.97283702
E02000120,1.538113895,184,22.0543,35.8,0.51851394,4.679427897,5.83246101,0.1204,7.1586,38.5756,34.52342661
E02000121,1.397556977,73,19.9726,84,0.963787827,4.644438589,5.50035862,0.0812,19.0956,33.771,24.97796062
E02000122,1.235001319,67,18.3742,41.8,0.505149978,4.747411808,6.008998518,0.0884,5.3172,25.2848,17.17913606
E02000123,1.708229776,150,19.8971,60.2,0.278753601,4.534026106,5.649154677,0.186142857,30.01071429,46.98471429,51.07751689
E02000124,1.434314696,93,20.1714,35.2,0.414973348,4.72427587,5.989167613,0.1062,8.0712,42.0024,27.18408352
E02000125,1.252380794,139,18.7044,46.1,0.301029996,4.701567985,5.899013519,0.100333333,10.37733333,32.01733333,17.88054671
E02000126,1.427903232,171,19.5229,66.9,0.041392685,4.559906625,5.712480496,0.22575,19.64225,38.78375,26.78571429
E02000127,1.549110853,42,15.3902,19.5,0.73239376,4.620136055,5.490377112,0.177833333,30.12,15.05616667,35.40877098
E02000128,1.156357634,31,17.4445,11.7,0.51851394,4.758154622,5.636562111,0.0724,11.649,14.7596,14.33367769
E02000130,1.438623369,57,15.6637,30.5,0.591064607,4.711807229,5.645746395,0.104,9.604,30.5074,27.45512144
E02000131,1.357293723,56,16.3088,37.4,0.447158031,4.64246452,5.535878695,0.1182,14.972,32.7126,22.76636649
E02000132,1.479305726,55,18.1827,19.5,0.556302501,4.729974286,5.640042946,0.0766,11.8978,25.1966,30.15127804
E02000133,0.998323422,18,16.4424,12.1,0.740362689,4.876217841,5.860809783,0.037833333,1.506833333,10.659,9.961469787
E02000134,1.553635201,59,12.7432,17,0.740362689,4.727541257,5.592565338,0.104285714,5.751285714,26.74357143,35.77957691
E02000135,1.551789541,89,16.6014,43.5,0.491361694,4.574031268,5.483594428,0.208166667,28.285,27.81716667,35.62784393
E02000136,1.371687336,12,20.699,15,0.69019608,4.718501689,5.667139027,0.1075,17.48625,12.74175,23.53354408
E02000137,1.017150514,44,16.1398,15.2,0.477121255,4.755112266,5.607488264,0.0594,2.7452,12.1836,10.40280634
E02000138,1.001467567,40,14.2252,14.3,0.591064607,4.812913357,5.671102461,0.043,1.8796,15.1468,10.03384913
E02000139,1.20709607,50,13.0077,16.8,0.531478917,4.757396029,5.647156961,0.0778,6.0716,26.5388,16.11001965
E02000140,1.624246253,45,14.5383,15.7,0.255272505,4.587710965,5.426133733,0.1892,36.8386,10.771,42.09652555
E02000141,1.32483291,79,19.5541,30.4,0.72427587,4.687528961,5.545329387,0.1022,12.0156,27.7404,21.12676056
