MSOAcode,MSOAName,Population,PopDensity,Age16_29%,BAME%,Householdspaces_no_usualresidents,Household_Income,House_Price
E02000300,Enfield 024,"8,795",113,19.8749,57,0.380211242,4.613841822,5.423355663
E02000301,Enfield 025,"10,903",60,19.8202,58.2,0.113943352,4.552668216,5.382697685
E02000302,Enfield 026,"8,691",55,17.4318,35.4,0.079181246,4.691081492,5.659779333
E02000303,Enfield 027,"8,958",72,21.4445,55.3,0.278753601,4.583198774,5.416598906
E02000304,Enfield 028,"7,956",46,16.6164,26.4,0.176091259,4.773786445,5.814984339
E02000305,Enfield 029,"9,303",97,18.9939,27.4,0.462397998,4.73239376,5.67843825
E02000306,Enfield 030,"9,760",47,20.1025,62.2,0,4.550228353,5.345085412
E02000307,Enfield 031,"10,071",91,20.0675,48.4,0.113943352,4.670245853,5.505773828
E02000308,Enfield 032,"8,237",72,21.0999,40.6,0.176091259,4.661812686,5.680542185
E02000309,Enfield 033,"11,674",72,20.6956,61.3,0.255272505,4.571708832,5.407336508
E02000311,Enfield 035,"10,664",75,21.8305,43.9,0.146128036,4.608526034,5.544332263
E02000312,Enfield 036,"11,339",87,22.2947,34.5,0.342422681,4.716003344,5.58940332
E02006793,Enfield 037,"9,989",101,20.3524,58.9,0.146128036,4.542825427,5.362644551
E02000313,Greenwich 001,"7,289",100,18.3564,50.7,0,4.57863921,5.301205849
E02000314,Greenwich 002,"15,312",48,21.186,61.1,0.079181246,4.671172843,5.341487942
E02000315,Greenwich 003,"9,696",81,17.5949,47.7,0.146128036,4.547774705,5.374423878
E02000316,Greenwich 004,"12,809",68,23.9285,46.9,0.414973348,4.655138435,5.484240031
E02000317,Greenwich 005,"8,666",133,19.4669,51.7,0.414973348,4.564666064,5.490586277
E02000318,Greenwich 006,"10,729",97,21.2322,65,0.414973348,4.547774705,5.418644282
E02000319,Greenwich 007,"11,923",129,22.0666,58.4,0.342422681,4.605305046,5.420963529
E02000320,Greenwich 008,"7,238",50,19.3838,44.3,0.176091259,4.641474111,5.457454959
E02000321,Greenwich 009,"7,729",124,20.1578,49.8,0.255272505,4.540329475,5.379541188
E02000323,Greenwich 011,"11,151",146,21.2358,61,0.69019608,4.604226053,5.417918214
E02000324,Greenwich 012,"7,786",60,19.7791,39.9,0.278753601,4.630427875,5.571112286
E02000326,Greenwich 014,"7,376",101,17.218,32.4,0.414973348,4.748962861,5.631151435
E02000327,Greenwich 015,"6,924",37,25.0578,52.4,0.716003344,4.612783857,5.475817865
E02000328,Greenwich 016,"6,795",78,16.8801,18.4,0.73239376,4.781036939,5.808761765
E02000329,Greenwich 017,"6,347",36,17.5674,35.9,0.414973348,4.641474111,5.465718853
E02000331,Greenwich 019,"7,900",80,20.3038,35.3,0.447158031,4.675778342,5.48928473
E02000332,Greenwich 020,"7,630",38,16.7628,31.5,0.531478917,4.699837726,5.525024064
E02000333,Greenwich 021,"6,451",51,18.5708,15.4,0.612783857,4.826074803,5.76011324
E02000334,Greenwich 022,"6,436",46,17.6507,31.7,0.322219295,4.665580991,5.561246919
E02000335,Greenwich 023,"6,785",52,14.8268,11.6,0.176091259,4.73479983,5.543878154
E02000337,Greenwich 025,"8,214",59,18.3467,19.9,0.041392685,4.640481437,5.51235882
E02000339,Greenwich 027,"6,312",50,15.1933,11,0.431363764,4.720985744,5.646277243
E02000340,Greenwich 028,"6,307",19,18.2337,14.8,0.544068044,4.687528961,5.569492125
E02000341,Greenwich 029,"8,141",45,17.6637,23.5,0.204119983,4.607455023,5.490061068
E02000342,Greenwich 030,"6,607",49,31.5423,18.7,0.380211242,4.621176282,5.462833571
E02000343,Greenwich 031,"6,940",55,17.2334,19.9,0.041392685,4.664641976,5.542919991
E02000344,Greenwich 032,"6,600",51,17.5152,16.6,0,4.71432976,5.551617096
E02006786,Greenwich 033,"7,500",60,19.9333,41.7,0.447158031,4.600972896,5.409657588
E02006927,Greenwich 034,"9,566",38,16.3496,29.1,0.505149978,4.733197265,5.661483292
E02006928,Greenwich 035,"10,252",190,34.8322,41.4,0.579783597,4.678518379,5.681501736
E02006929,Greenwich 036,"8,434",33,26.6066,38,0.602059991,4.730782276,5.609714971
E02006930,Greenwich 037,"7,508",86,24.0543,22.1,0.462397998,4.759667845,5.656662514
E02006931,Greenwich 038,"9,450",47,22.5608,26.7,0.544068044,4.816903839,5.814436726
E02000345,Hackney 001,"9,543",156,20.2766,29.2,0.51851394,4.609594409,5.674845532
E02000346,Hackney 002,"6,678",115,21.2489,56.6,1.045322979,4.541579244,5.639483501
E02000347,Hackney 003,"8,644",126,20.8006,31.4,0.633468456,4.57863921,5.691510268
E02000348,Hackney 004,"8,758",157,19.0797,43.1,0.176091259,4.531478917,5.645078235
E02000350,Hackney 006,"10,225",180,22.1907,40.4,0.491361694,4.716003344,5.750205131
E02000351,Hackney 007,"9,189",176,29.3612,33.7,0.51851394,4.718501689,5.720738803
E02000352,Hackney 008,"7,266",95,17.8365,33.2,0.230448921,4.709269961,5.745581433
E02000353,Hackney 009,"8,219",147,22.0465,32.3,0.397940009,4.775974331,5.858424098
E02000354,Hackney 010,"10,487",132,22.0273,54.3,0.591064607,4.587710965,5.656573461
E02000355,Hackney 011,"9,011",137,21.9731,48.6,0.431363764,4.662757832,5.790942794
E02000356,Hackney 012,"7,595",188,19.3548,28.6,0.568201724,4.740362689,5.816414983
E02000357,Hackney 013,"6,727",44,18.6413,69.1,0.113943352,4.593286067,5.481952589
E02000358,Hackney 014,"11,733",190,22.5092,45.1,0.322219295,4.649334859,5.734568624
E02000359,Hackney 015,"6,856",157,22.6517,49.9,0.301029996,4.657055853,5.787371198
E02000360,Hackney 016,"11,869",217,21.1138,59.5,0.301029996,4.625312451,5.582705235
E02000361,Hackney 017,"8,417",142,26.0782,46.5,0.462397998,4.679427897,5.710668138
E02000362,Hackney 018,"7,161",55,22.5388,51.2,0.278753601,4.582063363,5.557936472
E02000363,Hackney 019,"11,735",197,20.1449,63,0.204119983,4.522444234,5.592747296
E02000364,Hackney 020,"9,748",147,22.0866,36.8,0.278753601,4.717670503,5.900120139
E02000365,Hackney 021,"14,714",152,27.0966,37.3,0.397940009,4.698100546,5.809373837
E02000366,Hackney 022,"9,063",141,21.4719,41.3,0.255272505,4.656098202,5.819990503
E02000367,Hackney 023,"11,071",150,23.6745,39.2,0.230448921,4.687528961,5.78973579
E02000368,Hackney 024,"10,178",160,24.0715,53.9,0.113943352,4.610660163,5.71333427
E02000369,Hackney 025,"13,462",207,23.5329,49.6,0.113943352,4.62838893,5.670669733
E02000370,Hackney 026,"8,904",182,26.4376,47.5,0.146128036,4.692846919,5.796213427
E02000371,Hackney 027,"14,293",143,40.2295,40.5,0.342422681,4.681241237,5.843537363
E02006918,Hackney 028,"8,985",173,19.6884,60.1,0.477121255,4.592176757,5.574715177
E02006921,Hackney 029,"8,478",187,19.297,50.4,0.380211242,4.563481085,5.652466818
E02000372,Hammersmith and Fulham 001,"9,500",28,24.5579,50,0.531478917,4.635483747,5.694078462
E02000373,Hammersmith and Fulham 002,"6,563",161,20.2042,62.6,-0.045757491,4.540329475,5.614659976
E02000374,Hammersmith and Fulham 003,"6,508",131,21.3122,38.7,0.477121255,4.63447727,5.829779627
E02000375,Hammersmith and Fulham 004,"6,779",91,22.2157,41.7,0.591064607,4.622214023,5.820522627
E02000376,Hammersmith and Fulham 005,"6,776",165,25.1919,39,0.602059991,4.653212514,5.834467119
E02000377,Hammersmith and Fulham 006,"7,963",179,21.2985,36.3,0.447158031,4.662757832,5.799813191
E02000378,Hammersmith and Fulham 007,"6,279",214,21.0702,30.6,0.431363764,4.729974286,5.853644074
E02000379,Hammersmith and Fulham 008,"7,691",113,16.8249,30.5,0.69019608,4.728353782,5.881994295
E02000380,Hammersmith and Fulham 009,"5,750",163,19.3565,26.6,0.643452676,4.790988475,6.006011828
E02000381,Hammersmith and Fulham 010,"7,648",138,19.3122,24.4,0.505149978,4.77524626,6.08941546
E02000382,Hammersmith and Fulham 011,"5,698",92,18.4275,31.2,0.531478917,4.764922985,5.928349245
E02000383,Hammersmith and Fulham 012,"9,041",150,27.4085,38.8,0.86332286,4.758154622,5.869501603
E02000384,Hammersmith and Fulham 013,"7,081",91,22.7369,36.3,0.602059991,4.673941999,5.878714198
E02000385,Hammersmith and Fulham 014,"5,904",148,30.3354,25.6,0.643452676,4.819543936,5.865164997
E02000386,Hammersmith and Fulham 015,"8,003",183,25.3905,42.4,0.591064607,4.650307523,5.841924187
E02000387,Hammersmith and Fulham 016,"6,017",147,27.2727,35.7,0.146128036,4.745074792,5.867133831
E02000388,Hammersmith and Fulham 017,"8,032",151,25.4607,26.2,0.716003344,4.748962861,6.093669583
E02000389,Hammersmith and Fulham 018,"8,051",128,23.6368,20.4,0.62324929,4.81756537,6.02082558
E02000390,Hammersmith and Fulham 019,"6,244",179,25.3203,24.3,0.653212514,4.776701184,5.993242188
E02000391,Hammersmith and Fulham 020,"7,781",117,19.2906,19.1,0.792391689,4.794488047,6.091537881
E02000392,Hammersmith and Fulham 021,"9,147",165,23.5378,23.1,0.716003344,4.836956737,5.992906818
E02000393,Hammersmith and Fulham 022,"5,796",163,21.256,15.9,0.568201724,4.928395852,5.957566106
E02000394,Hammersmith and Fulham 023,"8,465",129,23.5676,32.6,0.886490725,4.757396029,6.059675858
E02000395,Hammersmith and Fulham 024,"5,934",61,20.5932,13.9,0.819543936,4.843232778,6.145089762
E02000396,Hammersmith and Fulham 025,"6,759",108,19.0709,24.6,0.414973348,4.804139432,6.102423071
E02000397,Haringey 001,"8,481",150,19.6793,38.8,0.342422681,4.63748973,5.580060086
E02000398,Haringey 002,"7,626",64,19.7876,61.7,0.755874856,4.505149978,5.416878389
E02000400,Haringey 004,"8,278",62,19.6907,38.2,0.230448921,4.665580991,5.698902249
E02000401,Haringey 005,"7,143",96,20.4256,50.1,0.176091259,4.557507202,5.511884697
E02000402,Haringey 006,"6,779",71,20.2095,54.9,0.301029996,4.564666064,5.404681516
E02000403,Haringey 007,"8,008",94,23.1394,37.6,0.342422681,4.683947131,5.643696405
E02000404,Haringey 008,"8,026",125,22.6015,48.7,0.301029996,4.629409599,5.545371452
E02000405,Haringey 009,"6,690",38,13.8117,19.1,0.204119983,4.832508913,5.844790823
E02000406,Haringey 010,"7,504",164,23.3475,44.4,0.204119983,4.614897216,5.627464176
E02000407,Haringey 011,"7,855",150,20.7893,58.4,0.740362689,4.592176757,5.515119794
E02000408,Haringey 012,"8,521",164,23.9995,57.2,0.477121255,4.596597096,5.487623326
E02000409,Haringey 013,"6,395",92,22.2987,54.4,0.255272505,4.537819095,5.539727052
E02000410,Haringey 014,"6,679",89,17.0235,17.6,0.477121255,4.80685803,5.868881208
E02000411,Haringey 015,"10,015",72,29.2561,57.6,0.447158031,4.582063363,5.474373631
E02000412,Haringey 016,"7,723",100,24.9773,45.9,0.361727836,4.562292864,5.568063197
E02000413,Haringey 017,"7,697",63,15.2917,20.7,0.414973348,4.749736316,5.898813457
E02000414,Haringey 018,"7,625",186,20.6295,53.3,0.991226076,4.638489257,5.608211431
E02000415,Haringey 019,"7,315",104,21.7772,41.4,0.740362689,4.649334859,5.633585598
E02000416,Haringey 020,"7,897",126,19.5264,33.9,0.431363764,4.67669361,5.668737124
E02000417,Haringey 021,"6,544",62,16.03,16.8,0.544068044,4.810904281,5.905604317
E02000418,Haringey 022,"5,855",82,12.5192,15.8,0.255272505,4.811575006,5.911308919
E02000419,Haringey 023,"9,085",142,26.142,36.1,0.875061263,4.641474111,5.711083927
E02000420,Haringey 024,"8,209",142,20.7212,49.4,0.579783597,4.607455023,5.595633984
E02000421,Haringey 025,"7,715",98,23.8885,56.4,0.505149978,4.546542663,5.507378155
E02000422,Haringey 026,"8,418",155,22.1787,52,0.322219295,4.541579244,5.58411968
E02000423,Haringey 027,"7,499",135,27.5103,38.4,0.531478917,4.681241237,5.64602809
E02000424,Haringey 028,"7,412",111,20.1565,26.7,0.602059991,4.733197265,5.797735523
E02000425,Haringey 029,"7,906",146,16.81,34.6,0.875061263,4.58546073,5.705748284
E02000426,Haringey 030,"6,565",29,14.425,22.1,0.653212514,4.794488047,6.212665598
E02000427,Haringey 031,"7,214",67,25.8525,33.6,1.012837225,4.788875116,5.747470072
E02000428,Haringey 032,"8,067",135,26.2799,48.6,0.643452676,4.598790507,5.617463761
E02000429,Haringey 033,"7,150",73,14.3217,17.3,0.491361694,4.841984805,5.882732244
E02000430,Haringey 034,"7,742",117,19.5428,20.7,0.568201724,4.782472624,5.816795914
E02000431,Haringey 035,"6,274",103,19.8916,17.1,0.568201724,4.846337112,5.944340516
E02000432,Haringey 036,"6,624",124,21.9505,27.5,0.934498451,4.723455672,5.754885519
E02006794,Haringey 037,"8,328",120,19.3684,60.1,0.591064607,4.517195898,5.408229786
E02000433,Harrow 001,"8,086",13,13.8387,39.8,0.653212514,4.716837723,5.927486365
E02000434,Harrow 002,"9,287",47,17.5406,50.5,0.662757832,4.715167358,5.650486256
E02000435,Harrow 003,"7,842",43,17.2277,47,0.579783597,4.710963119,5.771605117
E02000436,Harrow 004,"5,688",12,14.3284,43.4,0.397940009,4.79518459,5.824373838
E02000437,Harrow 005,"8,666",62,16.5705,48.2,0.462397998,4.702430536,5.643428
E02000438,Harrow 006,"8,059",46,16.4537,45.4,0.491361694,4.677606953,5.660983992
E02000439,Harrow 007,"8,671",81,19.7555,61.9,0.397940009,4.682145076,5.530600499
E02000440,Harrow 008,"9,641",64,17.5708,57.7,0.322219295,4.773054693,5.726507154
E02000441,Harrow 009,"7,021",30,14.6275,44.6,0.361727836,4.72916479,5.717846847
E02000442,Harrow 010,"9,197",81,21.2678,74.4,0.255272505,4.73239376,5.598015305
E02000443,Harrow 011,"9,826",100,19.7232,63.1,0.579783597,4.656098202,5.508536452
E02000444,Harrow 012,"8,721",80,17.7273,72.5,0.301029996,4.719331287,5.626148332
E02000445,Harrow 013,"10,913",87,19.2798,63.2,0.447158031,4.660865478,5.496122549
E02000447,Harrow 015,"6,931",33,16.419,53.3,0.322219295,4.758911892,5.653420925
E02000448,Harrow 016,"6,900",40,12.2029,30.3,0.361727836,4.798650645,5.808470931
E02000449,Harrow 017,"8,396",91,20.1882,73.3,0.079181246,4.674861141,5.613180896
E02000451,Harrow 019,"6,721",42,15.8607,53.6,0.301029996,4.793790385,5.696208686
E02000452,Harrow 020,"8,540",76,18.6534,58.5,0.397940009,4.695481676,5.504125464
E02000453,Harrow 021,"8,152",79,17.8116,56.9,0.579783597,4.737192643,5.592977963
E02000454,Harrow 022,"7,015",45,12.9437,42.8,0.255272505,4.823474229,5.786615861
E02000455,Harrow 023,"8,715",71,19.9082,59.6,0.491361694,4.72916479,5.537769998
E02000456,Harrow 024,"7,225",78,18.2007,53.9,0.51851394,4.743509765,5.595606435
E02000457,Harrow 025,"6,542",56,16.0349,57.3,0.477121255,4.759667845,5.643472417
E02000459,Harrow 027,"8,783",73,18.3195,65,0.477121255,4.691081492,5.498007131
E02000460,Harrow 028,"6,712",78,19.3087,69,0.255272505,4.686636269,5.531034176
E02000461,Harrow 029,"7,245",27,24.1822,44.1,0.707570176,4.757396029,5.639549238
E02000462,Harrow 030,"6,850",69,18.0876,67.5,0.544068044,4.691965103,5.526250083
E02000463,Harrow 031,"8,285",89,18.1171,62.9,0.278753601,4.675778342,5.55309014
E02006795,Harrow 032,"8,139",84,16.2551,69.5,0.301029996,4.73479983,5.609431118
E02006882,Harrow 033,"14,361",67,18.7452,72.9,0.146128036,4.73239376,5.659976066
E02000464,Havering 001,"7,119",12,18.1205,11,0.414973348,4.589949601,5.434263833
E02000465,Havering 002,"8,578",31,17.7897,11.4,0.380211242,4.635483747,5.415952746
E02000466,Havering 003,"8,634",14,18.8789,12.4,0.146128036,4.640481437,5.449577126
E02000467,Havering 004,"10,467",77,19.5567,17,0.322219295,4.565847819,5.345203116
E02000468,Havering 005,"8,083",20,17.4069,11.2,0.278753601,4.660865478,5.460379085
E02000469,Havering 006,"6,939",40,16.9765,17,0.079181246,4.584331224,5.375312379
E02000470,Havering 007,"8,582",13,16.756,9.1,0.397940009,4.725094521,5.469375715
E02000471,Havering 008,"7,521",35,15.1576,7.6,0.230448921,4.73479983,5.582959449
E02000472,Havering 009,"9,064",59,16.2621,10.8,0.342422681,4.689308859,5.433286482
E02000473,Havering 010,"10,028",35,17.9896,11.2,0.230448921,4.703291378,5.498092663
E02000474,Havering 011,"8,894",40,18.0121,13.2,0.230448921,4.657055853,5.414844711
E02000475,Havering 012,"9,536",34,17.9111,11.1,0.414973348,4.725911632,5.608669349
E02000476,Havering 013,"9,329",60,21.0741,20.6,0.505149978,4.63748973,5.381829589
E02000477,Havering 014,"9,451",54,16.7919,8.9,0.301029996,4.748188027,5.548696449
E02000478,Havering 015,"5,956",24,17.8308,25.1,0.342422681,4.780317312,5.849311287
E02000479,Havering 016,"8,995",65,19.9111,15.4,0.361727836,4.651278014,5.439779393
E02000480,Havering 017,"11,448",34,20.2743,24.6,0.380211242,4.661812686,5.364751681
E02000481,Havering 018,"8,041",7,15.707,4.7,0.342422681,4.7084209,5.538583787
E02000482,Havering 019,"6,482",23,13.5452,5.9,0.278753601,4.828659897,5.713514063
E02000483,Havering 020,"7,893",49,17.4585,6.5,0.447158031,4.668385917,5.451012303
E02000484,Havering 021,"8,500",46,19.1412,9.8,0.255272505,4.720985744,5.480939243
E02000485,Havering 022,"8,239",39,16.786,7.7,0.342422681,4.712649702,5.478578038
E02000486,Havering 023,"7,513",59,16.944,8.9,0.278753601,4.702430536,5.464282336
E02000487,Havering 024,"7,788",6,13.9188,3.8,0.278753601,4.910090546,5.738639469
E02000488,Havering 025,"7,450",41,16.6309,6.8,0.079181246,4.761927838,5.499926154
E02000489,Havering 026,"8,319",32,17.9108,15.3,0.146128036,4.667452953,5.427799221
E02000490,Havering 027,"7,995",39,16.8981,12.5,0.255272505,4.64738297,5.413351742
E02000491,Havering 028,"9,277",19,17.247,18.2,0.51851394,4.600972896,5.414050327
E02000492,Havering 029,"6,456",5,16.899,9.1,0.255272505,4.685741739,5.450907751
E02000493,Havering 030,"6,508",50,18.8537,22.3,0.301029996,4.620136055,5.356505803
E02000494,Hillingdon 001,"7,436",12,12.2647,39.8,0.792391689,4.755112266,5.937435137
E02000495,Hillingdon 002,"10,271",38,15.4707,31.4,0.755874856,4.698970004,5.627493873
E02000496,Hillingdon 003,"7,555",5,15.2747,12.5,0.602059991,4.707570176,5.546484671
E02000497,Hillingdon 004,"9,324",35,14.9828,26.9,0.531478917,4.749736316,5.660087223
E02000498,Hillingdon 005,"6,090",19,13.8916,14,0.462397998,4.745074792,5.618342062
E02000499,Hillingdon 006,"7,842",49,13.8485,23.1,0.361727836,4.786751422,5.661488973
E02000500,Hillingdon 007,"8,226",28,16.302,18.3,0.602059991,4.803457116,5.732060673
E02000501,Hillingdon 008,"8,435",59,14.2383,18.8,0.361727836,4.753583059,5.639963354
E02000502,Hillingdon 009,"8,352",20,15.9483,21.3,0.633468456,4.748962861,5.59632984
E02000503,Hillingdon 010,"9,208",67,17.5391,16.8,0.462397998,4.792391689,5.597927625
E02000504,Hillingdon 011,"7,498",24,13.2702,17.6,0.51851394,4.803457116,5.734377327
E02000506,Hillingdon 013,"7,918",14,15.7742,32.1,0.579783597,4.749736316,5.784112105
E02000507,Hillingdon 014,"8,199",31,18.5632,31.3,0.361727836,4.745074792,5.538927962
E02000508,Hillingdon 015,"11,320",41,46.3869,35.2,0.908485019,4.720985744,5.539013335
E02000509,Hillingdon 016,"12,223",61,47.8688,42.3,0.681241237,4.728353782,5.489470503
E02000510,Hillingdon 017,"8,907",42,20.6355,35.7,0.431363764,4.731588765,5.548849882
E02000511,Hillingdon 018,"9,975",42,19.6792,42.3,0.431363764,4.710117365,5.481888161
E02000512,Hillingdon 019,"8,354",59,21.4149,40.7,0.447158031,4.677606953,5.462210762
E02000513,Hillingdon 020,"9,894",67,19.0317,56,0.505149978,4.635483747,5.422845811
E02000514,Hillingdon 021,"10,388",87,18.5503,71.3,0.531478917,4.695481676,5.484218669
E02000515,Hillingdon 022,"11,544",37,24.5322,30.4,0.755874856,4.686636269,5.416119374
E02000516,Hillingdon 023,"8,978",54,18.2557,67.1,0.568201724,4.67669361,5.465280215
E02000517,Hillingdon 024,"9,847",64,18.696,56.2,0.301029996,4.682145076,5.455858554
E02000518,Hillingdon 025,"8,819",35,20.4672,32.2,0.113943352,4.683947131,5.485338056
E02000519,Hillingdon 026,"9,199",51,19.7739,63,0.255272505,4.687528961,5.46935803
E02000520,Hillingdon 027,"13,124",30,19.9253,63.4,0.447158031,4.668385917,5.460294822
E02000521,Hillingdon 028,"12,035",49,20.3157,48.4,0.544068044,4.693726949,5.479075519
E02000522,Hillingdon 029,"9,298",59,18.4878,33.7,0.568201724,4.699837726,5.501976203
E02000523,Hillingdon 030,"11,141",68,19.8456,72.2,0.431363764,4.689308859,5.462541741
E02000524,Hillingdon 031,"7,590",4,19.8155,40,0.838849091,4.687528961,5.406773445
E02000525,Hillingdon 032,"9,819",24,18.2401,61.6,0.414973348,4.687528961,5.376012738
E02006796,Hillingdon 033,"8,926",21,16.7376,27.9,0.414973348,4.718501689,5.539570361
E02000526,Hounslow 001,"8,487",92,17.0143,16.7,0.62324929,4.88592634,6.112333147
E02000528,Hounslow 003,"11,662",50,18.6846,37.3,0.556302501,4.69019608,5.696489191
E02000529,Hounslow 004,"8,834",75,20.3532,77.4,0.041392685,4.667452953,5.448846941
E02000530,Hounslow 005,"7,170",26,19.8605,73.1,-0.22184875,4.620136055,5.384294261
E02000531,Hounslow 006,"10,295",40,23.8854,28.3,0.397940009,4.712649702,5.660335087
E02000532,Hounslow 007,"9,151",40,15.3863,21.6,0.612783857,4.783903579,6.008884073
E02000533,Hounslow 008,"8,452",79,15.4046,18.7,0.531478917,4.804820679,5.897240452
E02000534,Hounslow 009,"8,251",17,19.2462,52.8,0.361727836,4.770852012,5.630589561
E02000535,Hounslow 010,"9,449",61,20.1397,79.9,0.255272505,4.704150517,5.531122394
E02000536,Hounslow 011,"9,629",60,20.7187,76.6,0.113943352,4.691965103,5.536904225
E02000537,Hounslow 012,"9,339",49,19.7666,72.3,0.361727836,4.723455672,5.622166341
E02000538,Hounslow 013,"9,649",41,21.6603,78.1,0.301029996,4.665580991,5.463017549
E02000539,Hounslow 014,"11,205",68,16.805,35.3,0.361727836,4.725911632,5.578202404
E02000540,Hounslow 015,"10,431",83,19.6625,54.5,0.230448921,4.697229343,5.501513869
E02000541,Hounslow 016,"9,499",90,20.2969,73.8,0.230448921,4.660865478,5.483881006
E02000542,Hounslow 017,"11,325",108,19.3731,72.6,0.380211242,4.677606953,5.468601333
E02000543,Hounslow 018,"13,334",116,19.019,65.8,0.462397998,4.707570176,5.472692105
E02000544,Hounslow 019,"8,368",60,19.3117,48.8,0.146128036,4.722633923,5.602761895
E02000545,Hounslow 020,"8,581",65,17.3756,36.5,0.255272505,4.673941999,5.607325252
E02000546,Hounslow 021,"9,897",40,19.7333,75.5,0.176091259,4.680335513,5.457713897
E02000547,Hounslow 022,"9,975",31,18.406,39.8,0.380211242,4.673020907,5.42718414
E02000548,Hounslow 023,"9,740",28,19.5175,32.7,0.612783857,4.673020907,5.406207946
E02000549,Hounslow 024,"11,497",47,18.3091,37.3,0.255272505,4.674861141,5.461467012
E02000550,Hounslow 025,"10,851",115,18.7817,38.6,0.204119983,4.680335513,5.405781632
E02000551,Hounslow 026,"9,032",42,19.5859,36.2,0.255272505,4.620136055,5.39985536
E02000552,Hounslow 027,"8,906",29,21.9403,28.2,0.146128036,4.717670503,5.403756905
E02000553,Hounslow 028,"6,907",27,18.3582,26.3,0.278753601,4.671172843,5.500849599
E02006792,Hounslow 029,"8,854",61,19.2681,24.3,0.69019608,4.787460475,5.907605352
E02000554,Islington 001,"9,793",154,22.4752,39.4,0.462397998,4.589949601,5.743595988
E02000555,Islington 002,"9,714",163,24.8198,31.9,0.477121255,4.685741739,5.743367851
E02000556,Islington 003,"10,570",162,25.9792,33.8,0.544068044,4.707570176,5.726156466
E02000557,Islington 004,"8,510",120,23.6193,31.4,0.556302501,4.694605199,5.762462488
E02000558,Islington 005,"9,985",208,25.979,51.9,0.491361694,4.592176757,5.635800304
E02000559,Islington 006,"9,899",172,25.2147,27.4,0.653212514,4.775974331,5.860639213
E02000560,Islington 007,"7,978",159,34.2316,31.8,0.568201724,4.674861141,5.730838779
E02000561,Islington 008,"8,212",134,26.3517,21.5,0.653212514,4.807535028,5.903627636
E02000562,Islington 009,"8,827",136,21.7401,29.5,0.397940009,4.754348336,5.913969535
E02000563,Islington 010,"8,934",154,27.6808,34.2,0.579783597,4.633468456,5.754018667
E02000564,Islington 011,"11,922",148,31.4628,33.4,0.763427994,4.721810615,5.708980618
E02000565,Islington 012,"8,805",172,25.8262,37.8,0.447158031,4.670245853,5.857074859
E02000566,Islington 013,"9,015",129,24.6811,22.7,0.73239376,4.828015064,6.027698534
E02000567,Islington 014,"11,556",174,24.2125,27.6,0.579783597,4.77524626,5.872408032
E02000568,Islington 015,"11,795",131,37.2531,38,0.579783597,4.621176282,5.693661888
E02000569,Islington 016,"10,857",155,24.1779,27.6,0.662757832,4.706717782,6.006658116
E02000570,Islington 017,"9,613",160,25.3407,18.7,0.84509804,4.858537198,5.982969162
E02000571,Islington 018,"8,984",180,26.0686,28.5,0.342422681,4.720985744,5.891820577
E02000572,Islington 019,"9,617",210,37.1634,44.4,0.431363764,4.58546073,5.778504333
E02000573,Islington 020,"9,392",130,26.9591,20.5,0.785329835,4.829946696,6.015793414
E02000574,Islington 021,"8,601",141,29.7058,31,0.913813852,4.741151599,5.944922666
E02000575,Islington 022,"13,950",150,39.5341,30.9,1.004321374,4.783903579,5.900579035
E02000576,Islington 023,"11,163",148,32.7331,35.8,0.832508913,4.743509765,5.810858634
E02000577,Kensington and Chelsea 001,"6,974",80,18.1388,56.2,-0.045757491,4.559906625,5.79037314
E02000578,Kensington and Chelsea 002,"5,862",114,16.4449,44.5,0.278753601,4.609594409,5.807323241
E02000579,Kensington and Chelsea 003,"8,270",135,16.0701,31.1,0.591064607,4.748962861,6.025611812
E02000580,Kensington and Chelsea 004,"8,146",206,17.7756,36.8,0.748188027,4.669316881,5.949960071
E02000581,Kensington and Chelsea 005,"7,073",164,16.4004,46,0.255272505,4.618048097,6.067187322
E02000582,Kensington and Chelsea 006,"7,148",146,17.9071,22.1,1.029383778,4.821513528,6.221836068
E02000583,Kensington and Chelsea 007,"6,847",119,14.9555,20.2,0.959041392,4.866877814,6.318490112
E02000584,Kensington and Chelsea 008,"7,781",85,13.8414,21.4,1.139879086,4.8876173,6.385598767
E02000585,Kensington and Chelsea 009,"8,109",89,15.2423,32.6,0.995635195,4.818225894,6.315716408
E02000586,Kensington and Chelsea 010,"7,557",144,18.8038,27,1.176091259,4.959518377,6.516691216
E02000587,Kensington and Chelsea 011,"7,314",140,15.6686,26.2,1.041392685,4.918554531,6.350833146
E02000588,Kensington and Chelsea 012,"8,033",105,17.6895,20.7,1.408239965,4.88592634,6.505973542
E02000589,Kensington and Chelsea 013,"8,624",232,26.5422,35.2,0.929418926,4.798650645,6.142607185
E02000590,Kensington and Chelsea 014,"7,271",158,19.4471,28.8,1.31386722,4.707570176,6.212805302
E02000591,Kensington and Chelsea 015,"6,663",185,21.3417,40.5,0.826074803,4.720985744,6.155410742
E02000592,Kensington and Chelsea 016,"6,982",123,19.2781,20.7,1.093421685,4.912222057,6.337073516
E02000593,Kensington and Chelsea 017,"7,989",160,20.3405,24.9,0.903089987,4.868644438,6.105278499
E02000594,Kensington and Chelsea 018,"7,801",101,11.8318,15.4,1.037426498,4.8162413,6.496276748
