MSOAcode,MSOAName,Population,PopDensity,Age16_29%,BAME%,Householdspaces_no_usualresidents,Household_Income,House_Price
E02000067,Bexley 003,"9,857",43,19.8032,30.4,0.505149978,4.612783857,5.261619677
E02000068,Bexley 004,"7,962",35,20.0075,34.7,0.556302501,4.611723308,5.292455447
E02000069,Bexley 005,"6,408",44,17.9463,25.6,0.477121255,4.644438589,5.375012141
E02000070,Bexley 006,"7,916",43,17.1551,17.6,0.397940009,4.706717782,5.463479392
E02000071,Bexley 007,"7,631",65,19.7746,15.1,0.431363764,4.670245853,5.449299399
E02000072,Bexley 008,"11,681",27,20.4092,28.7,0.322219295,4.602059991,5.365489857
E02000073,Bexley 009,"10,868",68,16.3139,16.2,0.255272505,4.762678564,5.527720101
E02000074,Bexley 010,"8,103",72,17.8699,17.9,0.230448921,4.600972896,5.344233069
E02000075,Bexley 011,"8,184",53,15.3837,11.6,0.204119983,4.707570176,5.526211297
E02000077,Bexley 013,"8,275",74,17.5589,17.1,0.380211242,4.72427587,5.460231614
E02000078,Bexley 014,"7,832",53,16.2794,9.4,0.176091259,4.716003344,5.468943706
E02000079,Bexley 015,"8,324",51,17.0471,13.4,0.431363764,4.685741739,5.447829118
E02000080,Bexley 016,"9,817",58,18.8856,18.5,0.477121255,4.684845362,5.484425126
E02000081,Bexley 017,"7,845",36,16.1377,10.4,0.278753601,4.683047038,5.427104554
E02000082,Bexley 018,"9,176",61,18.1997,12.6,0.431363764,4.736396502,5.485132033
E02000083,Bexley 019,"11,083",30,18.1449,12.1,0.322219295,4.650307523,5.383587391
E02000084,Bexley 020,"10,945",42,16.3362,12.9,0.278753601,4.747411808,5.553482515
E02000085,Bexley 021,"8,091",50,19.0335,10,0.397940009,4.713490543,5.472924578
E02000086,Bexley 022,"7,380",50,17.2358,7.4,0.204119983,4.745855195,5.51911627
E02000087,Bexley 023,"7,920",21,15.8081,10.3,0.397940009,4.764176132,5.631250932
E02000088,Bexley 024,"7,761",39,17.7426,8.2,0.230448921,4.784617293,5.552273888
E02000089,Bexley 025,"7,906",58,15.4566,7.6,0.146128036,4.77524626,5.565200616
E02000090,Bexley 026,"9,172",51,19.0471,9.4,0.505149978,4.698970004,5.506383251
E02000091,Bexley 027,"9,959",36,17.9737,10.5,0.579783597,4.687528961,5.4945247
E02000092,Bexley 028,"6,708",11,17.74,12.6,0.361727836,4.630427875,5.474280383
E02006785,Bexley 029,"6,623",49,18.2093,17.8,0.397940009,4.636487896,5.441571034
E02000093,Brent 001,"11,118",81,18.8253,72.1,0.255272505,4.705863712,5.586301431
E02000094,Brent 002,"8,711",75,19.5844,62.5,0.414973348,4.680335513,5.565936321
E02000095,Brent 003,"10,130",65,18.5785,72.2,0.322219295,4.698970004,5.615215441
E02000096,Brent 004,"7,504",46,17.8971,67.7,0.397940009,4.746634199,5.709634547
E02000097,Brent 005,"8,989",48,18.6116,63.9,0.278753601,4.684845362,5.626707771
E02000098,Brent 006,"8,406",46,18.9507,67.2,0.462397998,4.667452953,5.7041591
E02000099,Brent 007,"8,866",69,19.9526,70,0.380211242,4.691965103,5.591956778
E02000100,Brent 008,"8,959",43,27.8379,68.4,0.73239376,4.730782276,5.787097584
E02000101,Brent 009,"9,616",68,18.2092,69.7,0.380211242,4.599883072,5.611692513
E02000102,Brent 010,"7,864",58,18.8199,68.3,0.278753601,4.622214023,5.555592573
E02000103,Brent 011,"8,966",51,19.1278,57.8,0.380211242,4.622214023,5.647522822
E02000104,Brent 012,"7,105",64,18.1703,70.1,0.380211242,4.67669361,5.551743901
E02000105,Brent 013,"9,828",72,18.2336,75.8,0.361727836,4.684845362,5.522852253
E02000106,Brent 014,"10,806",81,20.7385,62.4,0.431363764,4.582063363,5.628245845
E02000107,Brent 015,"11,347",119,24.3148,46.5,0.505149978,4.6599162,5.746752485
E02000108,Brent 016,"6,667",82,18.0891,73.8,0.176091259,4.630427875,5.489649163
E02000109,Brent 017,"11,071",57,22.9338,76.3,0.653212514,4.663700925,5.536680886
E02000110,Brent 018,"8,505",106,24.3386,46.9,0.278753601,4.699837726,5.810903609
E02000111,Brent 019,"10,766",95,17.2302,83.8,0.278753601,4.667452953,5.565533786
E02000112,Brent 020,"10,214",80,19.4929,78.9,0.643452676,4.641474111,5.548880563
E02000113,Brent 021,"9,586",65,20.217,75.3,0.146128036,4.557507202,5.428066728
E02000114,Brent 022,"9,194",150,26.2236,47.4,0.414973348,4.632457292,5.706002186
E02000115,Brent 023,"8,443",99,24.849,37.9,0.544068044,4.684845362,5.841641608
E02000116,Brent 024,"9,106",83,22.864,59.2,0.322219295,4.556302501,5.634857993
E02000117,Brent 025,"12,436",140,19.4596,68.9,0.322219295,4.532754379,5.466241667
E02000118,Brent 026,"10,404",84,20.396,82.7,0.204119983,4.651278014,5.4454563
E02000119,Brent 027,"7,952",31,20.171,78.1,0.431363764,4.582063363,5.568292095
E02000120,Brent 028,"9,327",184,22.0543,35.8,0.51851394,4.679427897,5.83246101
E02000121,Brent 029,"10,209",73,19.9726,84,0.963787827,4.644438589,5.50035862
E02000122,Brent 030,"8,033",67,18.3742,41.8,0.505149978,4.747411808,6.008998518
E02000123,Brent 031,"15,545",150,19.8971,60.2,0.278753601,4.534026106,5.649154677
E02000124,Brent 032,"10,153",93,20.1714,35.2,0.414973348,4.72427587,5.989167613
E02000125,Brent 033,"10,682",139,18.7044,46.1,0.301029996,4.701567985,5.899013519
E02000126,Brent 034,"7,504",171,19.5229,66.9,0.041392685,4.559906625,5.712480496
E02000127,Bromley 001,"9,235",42,15.3902,19.5,0.73239376,4.620136055,5.490377112
E02000128,Bromley 002,"7,744",31,17.4445,11.7,0.51851394,4.758154622,5.636562111
E02000130,Bromley 004,"8,523",57,15.6637,30.5,0.591064607,4.711807229,5.645746395
E02000131,Bromley 005,"9,883",56,16.3088,37.4,0.447158031,4.64246452,5.535878695
E02000132,Bromley 006,"9,585",55,18.1827,19.5,0.556302501,4.729974286,5.640042946
E02000133,Bromley 007,"10,641",18,16.4424,12.1,0.740362689,4.876217841,5.860809783
E02000134,Bromley 008,"11,487",59,12.7432,17,0.740362689,4.727541257,5.592565338
